Source,Target,Weight
#BillGatesIsEvil,#PizzaGate,2
#ChinaIsAsshoe,#ChinaMustExplain,2
#Plandemic,#fakenews,2
#ChineseVirus,#FakeNews,12
#CCPVirus,#FakeNews,3
#CCPLiedPeopleDied,#FakeNews,3
#CCPLiedPeopleDied,#ChineseVirus,10
#Q,#WWG1WGA_WORLDWIDE,22
#QAnon,#WWG1WGA_WORLDWIDE,61
#CCPVirus,#ChinaIsAsshoe,12
#QanonArmy,#wwg1wga,3
#DeepStateExposed,#GreatAwakeningWorldwide,2
#Q,#QanonArmy,10
#Qanon,#QanonArmy,13
#QanonArmy,#WWG1WGAWORLDWIDE,24
#TrustThePlan,#WWG1WGAWORLDWIDE,18
#DrainTheSwamp,#GreatAwakening,16
#FakeNews,#GreatAwakening,15
#COVIDIOT,#FakeNews,2
#GreatAwakening,#fakenews,2
#FauciFraud,#Plandemic,5
#DeepState,#Q,16
#DarkToLight,#DeepState,24
#Q,#Qarmy,27
#QAnons,#SavetheChildren,1
#DeepState,#SavetheChildren,2
#CoronaHoax,#Plandemic,16
#ChinaIsAsshoe,#ChinaVirus,18
#plandemic,#qanon,5
#WWG1WGA,#plandemic,4
#PizzaGate,#QAnon2020,5
#FakePandemic,#endthelockdown,5
#CCP_is_terrorist,#ChineseVirus,11
#CCP_is_terrorist,#ChinaLiedPeopleDie,7
#DeepState,#wwg1wga,4
#Treason,#wwg1wga,2
#FakeNews,#wwg1wga,4
#FakeNews,#Treason,5
#CCPLiedPeopleDied,#Coronavirustruth,3
#BigPharma,#QAnon2018,1
#BigPharma,#QAnon2020,1
#COVIDIOTS,#FireFauci,5
#CCP_is_terrorist,#chinazi,10
#QArmy,#TheGreatAwakeningWorldwide,20
#CrimesAgainstHumanity,#QArmy,2
#CrimesAgainstHumanity,#QAnon,12
#Q,#TheStormIsHere,22
#TheGreatAwakeningWorldwide,#TheStormIsHere,11
#CrimesAgainstHumanity,#TheStormIsHere,1
#CrimesAgainstHumanity,#TheGreatAwakeningWorldwide,1
#ChinaMustPay,#EmptyHospitals,1
#ChinaVirus,#EmptyHospitals,2
#DeepStateExposed,#QAnon,10
#CrimesAgainstChildren,#Treason,3
#CrimesAgainstChildren,#Pedogate,6
#CrimesAgainstHumanity,#Pedogate,3
#Pedogate,#qanon,6
#CrimesAgainstChildren,#qanon,2
#TrustThePlan,#WWG1WGA_WORLDWIDE,5
#CCPVirus,#chinavirus,5
#CrimesAgainstHumanity,#DeepState,5
#QAnon2020,#WWG1WGA_WORLDWIDE,9
#Qanon,#WWG1WGA_WORLDWIDE,22
#QArmy,#WWG1WGA_WORLDWIDE,22
#TheStormIsUponUs,#wwg1wga,11
#Agenda2030,#BillGatesIsEvil,3
#DeepState,#WWG1WGAWORLDWIDE,11
#QAnon2020,#QanonArmy,25
#QAnon2020,#qanon,19
#QAnons,#QanonArmy,33
#QanonArmy,#qanon,9
#endthelockdownnow,#qanon,1
#CCPVirus,#Coronavirustruth,12
#CCP_is_terrorist,#Coronavirustruth,2
#CCP_is_terrorist,#ChinaVirus,13
#ChinaVirus,#Coronavirustruth,8
#FakePandemic,#WWG1WGA,3
#FakePandemic,#TheGreatAwakening,4
#Coronavirustruth,#DeepState,5
#DrainTheSwamp,#TheStormIsUponUs,8
#BillGatesIsEvil,#Coronavirustruth,3
#BillGatesVirus,#Coronavirustruth,6
#CrimesAgainstHumanity,#Genocide,5
#DrainTheSwamp,#QArmy,6
#BillGatesVirus,#PizzaGate,3
#BillGatesVirus,#QAnon,9
#BillGatesBioTerrorist,#BillGatesVirus,25
#BillGatesBioTerrorist,#QAnon,4
#COVIDIOTS,#endthelockdown,7
#BoycottChina,#VoterID,1
#GreatAwakening,#TheGreatAwakening,19
#5GCoronavirus,#BillGatesBioTerrorist,3
#5GCoronavirus,#Agenda21,5
#5GCoronavirus,#Agenda2030,1
#5GCoronavirus,#COVIDIOTS,3
#BillGatesBioTerrorist,#COVIDIOTS,1
#Agenda21,#COVIDIOTS,1
#Agenda2030,#COVIDIOTS,1
#Spygate,#Treason,6
#FakeNews,#Qanon,16
#FakeNews,#WWG1WGAWORLDWIDE,10
#FilmYourHospital,#Plandemic,26
#EmptyHospitals,#Plandemic,9
#ChinaIsAsshoe,#ChineseVirus,13
#FakeNewsMedia,#FireFauci,2
#FakeNewsMedia,#FakePandemic,7
#FakePandemic,#FireFauci,5
#BillGatesVirus,#WWG1WGA,17
#BillGatesVirus,#Qanon,5
#DrainTheSwamp,#Treason,3
#FireFauci,#endthelockdownnow,2
#BillGatesVirus,#PIZZAGATEISREAL,1
#CCPVirus,#Chinamustfall,2
#ChinaLiedAndPeopleDied,#boycott_china_mncs,1
#GreatAwakeningWorldwide,#qanon,5
#DeepStateExposed,#Spygate,2
#QArmy,#Spygate,2
#DeepStateExposed,#QArmy,6
#TheStormIsHere,#pizzagate,3
#TheStormIsHere,#TrustThePlan,10
#TheStormIsHere,#q,1
#TrustThePlan,#pizzagate,2
